instance,orig,preprocessed
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/complete-400-0.1-3-9876543214003.cnf,0.075578,0.069569
/home/v7q8/scratch/2017_SAT_Competition/mp1-ps_5000_21250_3_0_0.7_0_1.50_8.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-9_1.cnf,234.313,56.8961
/home/v7q8/scratch/2018_SAT_Competition/Ofer/course0.12_2018_3_3.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Mayer-Eichberger/6-3-8.cnf,168.19,173.419
/home/v7q8/scratch/2017_SAT_Competition/mp1-blockpuzzle_9x9_s1_free7.cnf,2677.75,2606.84
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/8pipe_k.cnf,2525.78,2487.08
/home/v7q8/scratch/2017_SAT_Competition/g2-UR-20-10p1.cnf,4786.82,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-squ_any_s09x07_c27_abix_UNS.cnf,436.256,351.273
/home/v7q8/scratch/2017_SAT_Competition/mp1-ps_5000_21250_3_0_0.6_0_1.45_6.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/q_query_3_L150_coli.sat.cnf,863.91,333.74
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/gss-20-s100.cnf,4058.91,2424.24
/home/v7q8/scratch/2017_SAT_Competition/mp1-Nb6T28.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-24.4.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Porkhunov/mchess_17.cnf,2276.44,2197.13
/home/v7q8/scratch/2018_SAT_Competition/Devriendt/le450_25c.col.25.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-rubikcube401.cnf,507.961,362.716
/home/v7q8/scratch/2018_SAT_Competition/Devriendt/queen15_15.col.15.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/minxorminand064.cnf,309.842,290.422
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/aaai10-planning-ipc5-pathways-13-step17.cnf,1147.79,375.621
/home/v7q8/scratch/2017_SAT_Competition/g2-mizh-md5-48-2.cnf,1321.86,602.678
/home/v7q8/scratch/2017_SAT_Competition/mp1-klieber2017s-1600-023-eq.cnf,2962.78,2864.1
/home/v7q8/scratch/2018_SAT_Competition/Xiao/Nb8T63.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-oski15a10b08s-k23.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Xiao/Nb27T6.cnf,1676.07,1691.39
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/UTI-20-10p1.cnf,1032.04,689.01
/home/v7q8/scratch/2018_SAT_Competition/Chen/20180321_140823961_p_cnf_320_1120.cnf,5000.0,140.291
/home/v7q8/scratch/2018_SAT_Competition/Devriendt/le450_25b.col.25.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-24.2.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-klieber2017s-0490-023-t12.cnf,931.503,827.957
/home/v7q8/scratch/2017_SAT_Competition/mp1-ps_5000_21250_3_0_0.8_0_1.50_8.cnf,109.644,105.155
/home/v7q8/scratch/2017_SAT_Competition/g2-gss-30-s100.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-modgen-n200-m90860q08c40-16823.cnf,475.268,48.6285
/home/v7q8/scratch/2017_SAT_Competition/g2-gss-38-s100.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-Nb7T07.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-beemhanoi4b1-k37.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/dimacs.cnf,2500.28,2376.04
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128astepmodasaig.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-bobpcihm-k30.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/stable-300-0.1-20-98765432130020.cnf,79.0775,116.398
/home/v7q8/scratch/2017_SAT_Competition/mp1-21.5.cnf,29.8541,19.7188
/home/v7q8/scratch/2018_SAT_Competition/Heusser/satcoin-genesis-SAT-5.cnf,1.6272,1.92138
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/atco_enc1_opt1_05_21.cnf,169.266,138.539
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/total-10-13-u.cnf,888.3,633.973
/home/v7q8/scratch/2018_SAT_Competition/Devriendt/queen8_8.col.9.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/MD5-32-3.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Ehlers/ex065_24.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/004-22-144.cnf,974.203,933.562
/home/v7q8/scratch/2018_SAT_Competition/Chowdhury/gto_p50c314.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Heule/CNP-5-1800.cnf,545.153,63.791
/home/v7q8/scratch/2017_SAT_Competition/mp1-9_11.cnf,71.3575,17.923
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/SAT_dat.k70-24_1_rule_3.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Heule/CNP-5-900.cnf,5000.0,442.61
/home/v7q8/scratch/2018_SAT_Competition/Heule/CNP-5-1700.cnf,672.172,97.5723
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/manol-pipe-c10nidw_s.cnf,157.218,109.882
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-6s516r-k17.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Chen/20180321_140824282_p_cnf_320_1120.cnf,5000.0,85.664
/home/v7q8/scratch/2018_SAT_Competition/Porkhunov/mchess_15.cnf,142.006,144.399
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/AProVE07-03.cnf,630.212,454.875
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/6s12.cnf,2984.79,2813.42
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/MD5-28-1.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128boothbg1btisc.cnf,111.286,183.728
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/006-23-96.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/UCG-20-5p1.cnf,886.988,413.424
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/complete-400-0.1-7-9876543214007.cnf,0.084386,0.071694
/home/v7q8/scratch/2018_SAT_Competition/Devriendt/queen14_14.col.14.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Liang/dist4.c.cnf,403.954,397.632
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-oski15a10b10s-k22.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-24.0.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/SAT_dat.k30-30_rule.cnf,601.592,1334.34
/home/v7q8/scratch/2018_SAT_Competition/Scheel/cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18.cnf,329.255,201.733
